question_id,prompt,correct_answer,naive_answer,as_of_day,subject,domain
neg_spec_9_27,Has spec_9 in slow changed from v4 as of day 27?,v5,v4,27,spec_9,slow
neg_inc_19_56,Has inc_19 in fast changed from v37 as of day 56?,v1,v37,56,inc_19,fast
neg_docs_14_29,Has docs_14 in fast changed from v13 as of day 29?,v17,v13,29,docs_14,fast
neg_docs_14_21,Has docs_14 in fast changed from v10 as of day 21?,v12,v10,21,docs_14,fast
neg_model_10_34,Has model_10 in medium changed from v14 as of day 34?,v18,v14,34,model_10,medium
neg_pricing_9_21,Has pricing_9 in medium changed from v5 as of day 21?,v9,v5,21,pricing_9,medium
neg_spec_24_3,Has spec_24 in slow changed from v1 as of day 3?,v2,v1,3,spec_24,slow
neg_status_17_26,Has status_17 in fast changed from v10 as of day 26?,v14,v10,26,status_17,fast
neg_prc_4_60,Has prc_4 in medium changed from v15 as of day 60?,v2,v15,60,prc_4,medium
neg_docs_5_47,Has docs_5 in fast changed from v24 as of day 47?,v29,v24,47,docs_5,fast
neg_status_12_60,Has status_12 in fast changed from v31 as of day 60?,v35,v31,60,status_12,fast
neg_status_4_48,Has status_4 in fast changed from v28 as of day 48?,v30,v28,48,status_4,fast
neg_sts_13_13,Has sts_13 in fast changed from v7 as of day 13?,v6,v7,13,sts_13,fast
neg_status_27_46,Has status_27 in fast changed from v30 as of day 46?,v35,v30,46,status_27,fast
neg_incident_16_32,Has incident_16 in fast changed from v16 as of day 32?,v18,v16,32,incident_16,fast
neg_sts_12_49,Has sts_12 in fast changed from v31 as of day 49?,v2,v31,49,sts_12,fast
neg_incident_10_17,Has incident_10 in fast changed from v5 as of day 17?,v13,v5,17,incident_10,fast
neg_sts_19_46,Has sts_19 in fast changed from v33 as of day 46?,v1,v33,46,sts_19,fast
neg_inc_5_40,Has inc_5 in fast changed from v22 as of day 40?,v7,v22,40,inc_5,fast
neg_spec_5_49,Has spec_5 in slow changed from v10 as of day 49?,v1,v10,49,spec_5,slow
neg_hw_11_57,Has hw_11 in slow changed from v12 as of day 57?,v5,v12,57,hw_11,slow
neg_sts_0_27,Has sts_0 in fast changed from v15 as of day 27?,v3,v15,27,sts_0,fast
neg_model_4_69,Has model_4 in medium changed from v28 as of day 69?,v25,v28,69,model_4,medium
neg_sts_21_52,Has sts_21 in fast changed from v42 as of day 52?,v3,v42,52,sts_21,fast
neg_sts18_60,Has sts18 in fast changed from v46 as of day 60?,v1,v46,60,sts18,fast
neg_api_14_22,Has api_14 in medium changed from v6 as of day 22?,v3,v6,22,api_14,medium
neg_sts_15_69,Has sts_15 in fast changed from v49 as of day 69?,v1,v49,69,sts_15,fast
neg_incident_8_13,Has incident_8 in fast changed from v2 as of day 13?,v11,v2,13,incident_8,fast
neg_inc_18_12,Has inc_18 in fast changed from v2 as of day 12?,v1,v2,12,inc_18,fast
neg_inc_14_47,Has inc_14 in fast changed from v29 as of day 47?,v1,v29,47,inc_14,fast
neg_status_14_14,Has status_14 in fast changed from v3 as of day 14?,v12,v3,14,status_14,fast
neg_incident_26_31,Has incident_26 in fast changed from v23 as of day 31?,v25,v23,31,incident_26,fast
neg_model_15_54,Has model_15 in medium changed from v16 as of day 54?,v20,v16,54,model_15,medium
neg_status_9_50,Has status_9 in fast changed from v29 as of day 50?,v30,v29,50,status_9,fast
neg_docs_12_50,Has docs_12 in fast changed from v24 as of day 50?,v31,v24,50,docs_12,fast
neg_hardware_24_62,Has hardware_24 in slow changed from v9 as of day 62?,v10,v9,62,hardware_24,slow
neg_spec_26_47,Has spec_26 in slow changed from v7 as of day 47?,v8,v7,47,spec_26,slow
neg_pricing_4_54,Has pricing_4 in medium changed from v21 as of day 54?,v25,v21,54,pricing_4,medium
neg_api_2_22,Has api_2 in medium changed from v6 as of day 22?,v1,v6,22,api_2,medium
neg_incident_12_27,Has incident_12 in fast changed from v16 as of day 27?,v18,v16,27,incident_12,fast
neg_inc_16_16,Has inc_16 in fast changed from v5 as of day 16?,v3,v5,16,inc_16,fast
