question_id,prompt,correct_answer,naive_answer,as_of_day,subject,domain
ambig_incident_11_41,"As of day 41, what is currently true about incident_11 in fast?",v26,v34,41,incident_11,fast
ambig_incident_21_3,"As of day 3, what is currently true about incident_21 in fast?",v2,v39,3,incident_21,fast
ambig_hardware_12_41,"As of day 41, what is currently true about hardware_12 in slow?",v10,v15,41,hardware_12,slow
ambig_sts0_40,"As of day 40, what is currently true about sts0 in fast?",v1,v46,40,sts0,fast
ambig_status_10_5,"As of day 5, what is currently true about status_10 in fast?",v4,v37,5,status_10,fast
ambig_model_15_26,"As of day 26, what is currently true about model_15 in medium?",v10,v24,26,model_15,medium
ambig_model_11_47,"As of day 47, what is currently true about model_11 in medium?",v24,v31,47,model_11,medium
ambig_sts_8_4,"As of day 4, what is currently true about sts_8 in fast?",v2,v49,4,sts_8,fast
ambig_status_14_2,"As of day 2, what is currently true about status_14 in fast?",v1,v40,2,status_14,fast
ambig_mdl_1_44,"As of day 44, what is currently true about mdl_1 in medium?",v3,v20,44,mdl_1,medium
ambig_pricing_9_53,"As of day 53, what is currently true about pricing_9 in medium?",v23,v25,53,pricing_9,medium
ambig_hardware_21_32,"As of day 32, what is currently true about hardware_21 in slow?",v11,v15,32,hardware_21,slow
ambig_hardware_0_15,"As of day 15, what is currently true about hardware_0 in slow?",v7,v15,15,hardware_0,slow
ambig_incident_6_40,"As of day 40, what is currently true about incident_6 in fast?",v22,v38,40,incident_6,fast
ambig_api_17_52,"As of day 52, what is currently true about api_17 in medium?",v20,v26,52,api_17,medium
ambig_inc_1_14,"As of day 14, what is currently true about inc_1 in fast?",v1,v50,14,inc_1,fast
ambig_hw_9_8,"As of day 8, what is currently true about hw_9 in slow?",v1,v5,8,hw_9,slow
ambig_sts18_12,"As of day 12, what is currently true about sts18 in fast?",v1,v47,12,sts18,fast
ambig_sts2_43,"As of day 43, what is currently true about sts2 in fast?",v1,v43,43,sts2,fast
ambig_sts_20_13,"As of day 13, what is currently true about sts_20 in fast?",v1,v50,13,sts_20,fast
ambig_inc_24_6,"As of day 6, what is currently true about inc_24 in fast?",v1,v47,6,inc_24,fast
ambig_status_14_33,"As of day 33, what is currently true about status_14 in fast?",v23,v40,33,status_14,fast
ambig_hardware_23_56,"As of day 56, what is currently true about hardware_23 in slow?",v15,v17,56,hardware_23,slow
ambig_sts_12_35,"As of day 35, what is currently true about sts_12 in fast?",v2,v46,35,sts_12,fast
ambig_model_16_48,"As of day 48, what is currently true about model_16 in medium?",v17,v33,48,model_16,medium
ambig_mdl_3_1,"As of day 1, what is currently true about mdl_3 in medium?",v1,v20,1,mdl_3,medium
ambig_inc_11_36,"As of day 36, what is currently true about inc_11 in fast?",v3,v41,36,inc_11,fast
ambig_model_13_29,"As of day 29, what is currently true about model_13 in medium?",v14,v28,29,model_13,medium
ambig_mdl_11_48,"As of day 48, what is currently true about mdl_11 in medium?",v4,v17,48,mdl_11,medium
ambig_spec_23_34,"As of day 34, what is currently true about spec_23 in slow?",v12,v17,34,spec_23,slow
ambig_inc_5_56,"As of day 56, what is currently true about inc_5 in fast?",v7,v39,56,inc_5,fast
ambig_incident_5_17,"As of day 17, what is currently true about incident_5 in fast?",v13,v41,17,incident_5,fast
ambig_spec_19_19,"As of day 19, what is currently true about spec_19 in slow?",v4,v15,19,spec_19,slow
ambig_inc_6_46,"As of day 46, what is currently true about inc_6 in fast?",v2,v52,46,inc_6,fast
ambig_status_27_3,"As of day 3, what is currently true about status_27 in fast?",v3,v45,3,status_27,fast
ambig_pricing_4_42,"As of day 42, what is currently true about pricing_4 in medium?",v21,v28,42,pricing_4,medium
